datetime,open,high,low,close,volume
2023-01-27 12:21:00,175.9436,176.18,175.701,176.18,412072
2023-01-27 12:22:00,176.1809,176.3,175.9502,176.01,444715
2023-01-27 12:23:00,175.9994,176.1299,175.65,175.73,321139
2023-01-27 12:24:00,175.7436,176.2,175.41,175.83,489516
2023-01-27 12:25:00,175.85,175.93,175.6,175.83,267908
2023-01-27 12:26:00,175.8163,176.0499,175.61,175.62,347699
2023-01-27 12:27:00,175.6123,175.8,175.54,175.6999,297968
2023-01-27 12:28:00,175.7,176.63,175.55,176.495,729917
2023-01-27 12:29:00,176.48,176.79,175.8601,176.745,684256
2023-01-27 12:30:00,176.76,177.02,176.6701,176.8744,849380
2023-01-27 12:31:00,176.865,177,176.25,176.58,741646
2023-01-27 12:32:00,176.6,176.64,176.1,176.3672,466622
2023-01-27 12:33:00,176.3565,176.41,176.1723,176.275,304479
2023-01-27 12:34:00,176.26,176.96,176.02,176.7312,480056
2023-01-27 12:35:00,176.7187,176.7299,176.15,176.54,372481
2023-01-27 12:36:00,176.55,176.7,176.37,176.425,319615
2023-01-27 12:37:00,176.4263,176.5,176.31,176.42,262960
2023-01-27 12:38:00,176.3965,176.42,176.23,176.29,265182
2023-01-27 12:39:00,176.2742,176.5,176.21,176.4285,356399
2023-01-27 12:40:00,176.4,177,176.38,176.8472,748495
2023-01-27 12:41:00,176.85,177.48,176.51,176.8123,969935
2023-01-27 12:42:00,176.82,177.25,176.69,176.845,539994
2023-01-27 12:43:00,176.8301,177.1899,176.8,177.01,449936
2023-01-27 12:44:00,177.01,177.35,176.96,177.2727,506553
2023-01-27 12:45:00,177.2778,177.35,176.85,176.96,458509
2023-01-27 12:46:00,176.97,177.2199,176.875,177.08,362989
2023-01-27 12:47:00,177.0601,177.15,176.9,176.9294,257074
2023-01-27 12:48:00,176.91,177.12,176.872,177.05,316032
2023-01-27 12:49:00,177.0555,177.45,176.99,177.375,454556
2023-01-27 12:50:00,177.37,177.5,177.12,177.22,383331
2023-01-27 12:51:00,177.22,177.27,176.99,177.04,389066
2023-01-27 12:52:00,177.05,177.31,176.9801,177.0716,418553
2023-01-27 12:53:00,177.07,177.13,176.61,176.7181,555024
2023-01-27 12:54:00,176.71,177.02,176.7,176.9,343468
